Id,SalePrice
1461,116866.24207548903
1462,162271.36803712434
1463,182023.4162641093
1464,203857.5946090161
1465,180884.62397825732
1466,168170.77898072568
1467,178362.95609544712
1468,160795.27260892652
1469,194447.24148453533
1470,119057.53730362857
1471,193139.75584696134
1472,95973.24589043148
1473,93982.30394597104
1474,148854.79805999147
1475,115443.64600527227
1476,387362.51483606215
1477,268376.8068480576
1478,290302.53234275215
1479,266700.66556185385
1480,474616.5949185192
1481,322012.74949788547
1482,206568.85624961965
1483,174766.95678252509
1484,158168.90173135974
1485,185285.75711464137
1486,196703.24320080967
1487,309506.22566693876
1488,244790.14427060692
1489,215924.7806645492
1490,235579.5537945867
1491,190750.03281569158
1492,90977.51475712974
1493,178009.85079512434
1494,282221.4719345543
1495,283415.1860568222
1496,227452.14854164817
1497,177854.26396993126
1498,160000.45680336375
1499,157705.19935468546
1500,152222.11549595525
1501,175905.575835901
1502,139859.51569352025
1503,336082.5900914185
1504,240930.02775334663
1505,222769.14339553702
1506,190716.6009186428
1507,256410.12076832558
1508,201860.2590929213
1509,149837.1097012705
1510,143241.60343633362
1511,148901.22545899084
1512,182352.25717578165
1513,141342.10493795516
1514,148280.66347066135
1515,206843.53914907415
1516,158448.07850860132
1517,169434.06531517237
1518,137595.98598748553
1519,213003.94718634876
1520,127917.47927007021
1521,130338.33944502987
1522,177711.92050272843
1523,111703.80490524716
1524,123880.53714088273
1525,124789.68979374501
1526,111884.62190487777
1527,110476.78252288628
1528,145029.1739820208
1529,145084.89533111465
1530,203033.4920689012
1531,103980.50303562982
1532,103513.15368598158
1533,149334.07044045703
1534,125836.91551163008
1535,157674.8532110674
1536,117188.80937716826
1537,60639.309976604505
1538,142875.1559886532
1539,187979.67284128335
1540,89285.84356981571
1541,141095.49502528732
1542,144478.8659143551
1543,177767.2950077799
1544,89680.00828024668
1545,106936.61553091617
1546,125271.9499386022
1547,134446.88777550263
1548,131481.56504216016
1549,108857.20877705391
1550,123045.62812066432
1551,115206.9868311496
1552,135418.72329023117
1553,140293.11453214142
1554,113655.00829110375
1555,159236.1453195615
1556,85054.21861880156
1557,100672.80449333916
1558,93016.41512345645
1559,75363.6307033741
1560,133951.93274948763
1561,114721.68170014967
1562,124067.97205162185
1563,119313.69474860086
1564,161395.25024300683
1565,143198.4609878339
1566,246966.4558262412
1567,79577.86209818714
1568,219211.1373270193
1569,130041.2117230793
1570,140086.48698210547
1571,127397.24333774464
1572,148998.13859359876
1573,254358.6919922234
1574,120002.38744961639
1575,230314.20990085966
1576,238002.7807512299
1577,210856.597302516
1578,143195.46186582322
1579,146245.28711660916
1580,189652.55931510628
1581,158813.30492739682
1582,123102.48432918925
1583,303236.4047346003
1584,219796.5593001523
1585,137138.05466729272
1586,75790.41306224208
1587,101274.26029820605
1588,161266.40356374686
1589,95626.06434429242
